Wolverhampton Halfpenny Green Airport,52.517,-2.259
Cotswold Airport,51.668,-2.056
Turweston Airport,52.040,-1.095
Wellesbourne Mountford Airport,52.192,-1.614
Manchester Airport,53.353,-2.274
Manchester Woodford Airport,53.338,-2.148
Royal Marines Base Chivenor Airport,51.087,-4.150
Newquay Cornwall Airport,50.440,-4.995
RAF Lyneham,51.505,-1.993
MoD Boscombe Down Airport,51.152,-1.747
RNAS Culdrose,50.086,-5.255
MoD St. Athan,51.404,-3.435
RNAS Yeovilton,51.009,-2.638
Haverfordwest Airport,51.833,-4.961
Cardiff International Airport,51.396,-3.343
Swansea Airport,51.605,-4.067
Bristol Airport,51.382,-2.719
Liverpool John Lennon Airport,53.333,-2.849
London Luton Airport,51.874,-0.368
Plymouth City Airport,50.422,-4.105
Bournemouth Airport,50.779,-1.842
Southampton Airport,50.950,-1.356
Lasham Airport,51.187,-1.033
Alderney Airport,49.706,-2.214
Guernsey Airport,49.435,-2.601
Jersey Airport,49.207,-2.195
Shoreham Airport,50.835,-0.297
London Biggin Hill Airport,51.330,0.032
London Gatwick Airport,51.148,-0.190
London City Airport,51.505,0.055
Farnborough Airport,51.275,-0.776
Chalgrove Airport,51.676,-1.080
Blackbushe Airport,51.323,-0.847
London Heathrow Airport,51.470,-0.461
Southend Airport,51.571,0.695
Lydd Airport,50.956,0.939
Kent International Airport,51.342,1.346
Brough Airport,53.719,-0.566
Carlisle Airport,54.937,-2.809
Retford Gamston Airport,53.280,-0.951
Blackpool International Airport,53.771,-3.028
Humberside Airport,53.574,-0.350
Barrow Walney Island Airport,54.128,-3.267
Leeds Bradford Airport,53.865,-1.660
Warton Airport,53.745,-2.883
Hawarden Airport,53.178,-2.977
Isle of Man Airport,54.083,-4.623
Newcastle Airport,55.037,-1.691
Durham Tees Valley Airport,54.509,-1.429
East Midlands Airport,52.831,-1.328
Llanbedr Airport,52.811,-4.123
RAF Ternhill,52.871,-2.533
RAF Shawbury,52.798,-2.668
RAF Woodvale,53.581,-3.055
Kirkwall Airport,58.957,-2.904
Sumburgh Airport,59.878,-1.295
Wick Airport,58.458,-3.093
Aberdeen Dyce Airport,57.201,-2.197
Inverness Airport,57.542,-4.047
Glasgow International Airport,55.871,-4.433
Edinburgh Airport,55.950,-3.372
Islay Airport,55.681,-6.256
Glasgow Prestwick Airport,55.509,-4.586
Benbecula Airport,57.481,-7.362
Scatsta Airport,60.432,-1.296
Dundee Airport,56.452,-3.025
Stornoway Airport,58.215,-6.331
Tiree Airport,56.499,-6.869
RAF Leuchars,56.372,-2.868
RAF Lossiemouth,57.705,-3.339
Cambridge Airport,52.205,0.175
Peterborough Business Airport,52.468,-0.251
Norwich International Airport,52.675,1.282
London Stansted Airport,51.884,0.234
North Weald Airport,51.721,0.154
